E11.9,Type 2 diabetes mellitus without complications
E10.9,Type 1 diabetes mellitus without complications
I10,Essential (primary) hypertension
E78.5,Hyperlipidemia unspecified
I21.3,ST elevation myocardial infarction of unspecified site
I20.0,Unstable angina
I20.9,Angina pectoris unspecified
J18.9,Pneumonia unspecified organism
J44.9,Chronic obstructive pulmonary disease unspecified
J45.909,Unspecified asthma uncomplicated
G43.909,Migraine unspecified not intractable without status migrainosus
N39.0,Urinary tract infection site not specified
K21.9,Gastro-esophageal reflux disease without esophagitis
F32.9,Major depressive disorder single episode unspecified
F41.9,Anxiety disorder unspecified
M54.5,Low back pain
R51.9,Headache unspecified
R07.9,Chest pain unspecified
I50.9,Heart failure unspecified
N18.9,Chronic kidney disease unspecified
